<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GDAX.BTC-USD,1,02/11/18,00:01,6337.2400000,6337.2400000,6337.2300000,6337.2400000,1
GDAX.BTC-USD,1,02/11/18,00:02,6337.2400000,6337.2400000,6337.2300000,6337.2300000,3
GDAX.BTC-USD,1,02/11/18,00:03,6337.2400000,6337.2400000,6337.2300000,6337.2300000,1
GDAX.BTC-USD,1,02/11/18,00:04,6337.2400000,6337.2400000,6337.2300000,6337.2400000,1
GDAX.BTC-USD,1,02/11/18,00:05,6337.2400000,6337.2400000,6337.2300000,6337.2400000,1
GDAX.BTC-USD,1,02/11/18,00:06,6337.2400000,6337.2400000,6337.2300000,6337.2400000,1
GDAX.BTC-USD,1,02/11/18,00:07,6337.2400000,6337.2400000,6337.2300000,6337.2400000,3
GDAX.BTC-USD,1,02/11/18,00:08,6337.2400000,6337.2400000,6337.2300000,6337.2300000,2
GDAX.BTC-USD,1,02/11/18,00:09,6337.2400000,6337.2400000,6337.2300000,6337.2400000,7
GDAX.BTC-USD,1,02/11/18,00:10,6337.2400000,6337.2400000,6337.2300000,6337.2400000,1
GDAX.BTC-USD,1,02/11/18,00:11,6337.2300000,6337.2400000,6337.2300000,6337.2400000,1
GDAX.BTC-USD,1,02/11/18,00:12,6337.2400000,6337.2400000,6337.2300000,6337.2300000,1
GDAX.BTC-USD,1,02/11/18,00:13,6337.2300000,6337.2400000,6337.2300000,6337.2400000,1
GDAX.BTC-USD,1,02/11/18,00:14,6337.2400000,6337.2400000,6337.2300000,6337.2400000,3
GDAX.BTC-USD,1,02/11/18,00:15,6337.2300000,6337.2400000,6336.0000000,6336.0000000,5
GDAX.BTC-USD,1,02/11/18,00:16,6336.0100000,6336.0100000,6336.0000000,6336.0100000,2
GDAX.BTC-USD,1,02/11/18,00:17,6336.0100000,6336.0100000,6333.8800000,6334.1200000,9
GDAX.BTC-USD,1,02/11/18,00:18,6334.1200000,6334.1200000,6331.7000000,6331.8000000,1
GDAX.BTC-USD,1,02/11/18,00:19,6331.7700000,6331.7700000,6331.7000000,6331.7100000,1
GDAX.BTC-USD,1,02/11/18,00:20,6331.7100000,6331.7100000,6331.7000000,6331.7100000,3
GDAX.BTC-USD,1,02/11/18,00:21,6331.7000000,6331.7100000,6331.7000000,6331.7100000,2
GDAX.BTC-USD,1,02/11/18,00:22,6331.7100000,6331.7100000,6331.7000000,6331.7100000,3
GDAX.BTC-USD,1,02/11/18,00:23,6331.7000000,6331.7100000,6331.7000000,6331.7100000,3
GDAX.BTC-USD,1,02/11/18,00:24,6331.7100000,6331.7100000,6331.7000000,6331.7100000,1
GDAX.BTC-USD,1,02/11/18,00:25,6331.7100000,6331.7100000,6331.7000000,6331.7100000,4
GDAX.BTC-USD,1,02/11/18,00:26,6331.7000000,6332.0000000,6331.7000000,6332.0000000,5
GDAX.BTC-USD,1,02/11/18,00:27,6331.9900000,6332.1500000,6331.7000000,6331.7100000,3
GDAX.BTC-USD,1,02/11/18,00:28,6331.7000000,6331.7100000,6330.0000000,6330.8600000,5
GDAX.BTC-USD,1,02/11/18,00:29,6330.8600000,6330.8600000,6330.0600000,6330.2800000,3
GDAX.BTC-USD,1,02/11/18,00:30,6330.2800000,6330.2800000,6330.2700000,6330.2700000,1
GDAX.BTC-USD,1,02/11/18,00:31,6330.2800000,6330.4000000,6330.2700000,6330.4000000,3
GDAX.BTC-USD,1,02/11/18,00:32,6330.3900000,6331.7100000,6330.3700000,6331.7000000,8
GDAX.BTC-USD,1,02/11/18,00:33,6331.7000000,6331.7100000,6331.7000000,6331.7100000,2
GDAX.BTC-USD,1,02/11/18,00:34,6331.7000000,6333.1300000,6331.7000000,6333.0900000,2
GDAX.BTC-USD,1,02/11/18,00:35,6333.0500000,6333.0900000,6331.6300000,6332.2700000,1
GDAX.BTC-USD,1,02/11/18,00:36,6331.6300000,6332.4600000,6331.6300000,6331.6400000,1
GDAX.BTC-USD,1,02/11/18,00:37,6331.6400000,6332.5000000,6331.6300000,6332.5000000,1
GDAX.BTC-USD,1,02/11/18,00:38,6332.4900000,6332.5000000,6331.6300000,6331.6300000,1
GDAX.BTC-USD,1,02/11/18,00:39,6331.6400000,6334.1400000,6331.6400000,6333.3300000,5
GDAX.BTC-USD,1,02/11/18,00:40,6333.3400000,6333.8600000,6331.9800000,6333.8500000,4
GDAX.BTC-USD,1,02/11/18,00:41,6333.8600000,6334.5200000,6333.8500000,6334.0300000,8
GDAX.BTC-USD,1,02/11/18,00:42,6333.8500000,6334.0300000,6333.8500000,6333.8600000,2
GDAX.BTC-USD,1,02/11/18,00:43,6333.8600000,6335.8800000,6333.8500000,6335.8800000,1
GDAX.BTC-USD,1,02/11/18,00:44,6335.8800000,6336.6700000,6335.8700000,6336.6700000,2
GDAX.BTC-USD,1,02/11/18,00:45,6336.6700000,6336.6700000,6336.6600000,6336.6700000,5
GDAX.BTC-USD,1,02/11/18,00:46,6336.6700000,6337.2400000,6336.6600000,6337.2400000,3
GDAX.BTC-USD,1,02/11/18,00:47,6337.2400000,6337.2400000,6337.2300000,6337.2400000,1
GDAX.BTC-USD,1,02/11/18,00:48,6337.2400000,6338.0000000,6337.2300000,6337.2400000,6
GDAX.BTC-USD,1,02/11/18,00:49,6337.2400000,6339.9000000,6337.2400000,6337.9100000,9
GDAX.BTC-USD,1,02/11/18,00:50,6337.9100000,6339.8900000,6337.9000000,6339.8900000,3
GDAX.BTC-USD,1,02/11/18,00:51,6339.8800000,6339.9000000,6339.8800000,6339.8900000,5
GDAX.BTC-USD,1,02/11/18,00:52,6339.8900000,6339.9000000,6339.8900000,6339.9000000,2
GDAX.BTC-USD,1,02/11/18,00:53,6339.8900000,6340.0000000,6339.8900000,6340.0000000,6
GDAX.BTC-USD,1,02/11/18,00:54,6340.0000000,6342.5800000,6339.9900000,6342.5800000,5
GDAX.BTC-USD,1,02/11/18,00:55,6342.5700000,6352.5000000,6342.5700000,6352.5000000,46
GDAX.BTC-USD,1,02/11/18,00:56,6352.5000000,6360.0000000,6352.5000000,6359.9600000,19
GDAX.BTC-USD,1,02/11/18,00:57,6359.9700000,6359.9700000,6359.9600000,6359.9700000,3
GDAX.BTC-USD,1,02/11/18,00:58,6359.9700000,6359.9700000,6346.0000000,6346.0100000,7
GDAX.BTC-USD,1,02/11/18,00:59,6346.0100000,6346.0100000,6346.0000000,6346.0100000,2
GDAX.BTC-USD,1,02/11/18,01:00,6346.0100000,6347.6700000,6346.0000000,6346.0100000,7
GDAX.BTC-USD,1,02/11/18,01:01,6346.0100000,6348.4400000,6346.0000000,6348.0100000,5
GDAX.BTC-USD,1,02/11/18,01:02,6348.0000000,6348.0100000,6348.0000000,6348.0100000,1
